series,yr,total
Email,2007,3373
Other,2007,1922
Phone,2007,371602
Web,2007,2943
Employee,2007,0
Email,2008,3497
Employee,2008,3354
Other,2008,4771
Phone,2008,458784
Web,2008,2543
Email,2009,4152
Employee,2009,11327
Other,2009,2588
Phone,2009,445687
Web,2009,6292
Email,2010,19131
Employee,2010,9725
Other,2010,2472
Phone,2010,480510
Web,2010,12873
Email,2011,7393
Employee,2011,9343
Other,2011,1854
Phone,2011,415483
Web,2011,26174
Email,2012,4284
Employee,2012,11907
Other,2012,2709
Phone,2012,408919
Web,2012,19844
Email,2013,5442
Employee,2013,15771
Other,2013,4846
Phone,2013,409827
Web,2013,24058
